lat,lon,addr:street,addr:housenumber,addr:postcode,addr:city
5812334.871600562,685356.130270333,Rue Adrien-Lachenal,19,,Genève
5812361.575046933,685390.1114202947,,,,
5812420.06567973,685354.831517746,Ruelle du Couchant,6,,Genève
5812787.30260271,685819.4767362814,,,,
5812428.2857305985,685325.6976712828,Rue Adrien-Lachenal,11,,Genève
5812828.092180048,685615.4083722812,,,,
5812740.81658094,685773.0227350717,Place de Jargonnant,5,,Genève
5812922.226982028,685548.8067420983,,,,
5812851.833637087,685869.3181484337,,,,
5812257.496084478,685920.0827550704,,,,
5812403.175984094,685742.6146708403,Clos Mallet-Du-Pan,14,1208,Genève
5812363.895244505,685781.2896572246,,,,
5812406.355905524,685845.4487961456,,,,
5812583.659830225,685379.1986076349,,,,
5812146.065764855,685893.8661100054,,,,
5812097.299582703,685904.349894942,,,,
5812384.031696323,685734.4041468443,Clos Mallet-Du-Pan,16,1208,Genève
5812394.141964897,685916.8774769257,,,,
5812340.1247558165,685820.0581034392,,,,
5812575.629271173,685410.8315354603,,,,
5812464.7495721225,685677.9339304433,,,,
5812450.06640223,685811.8916684396,,,,
5810610.987088483,685366.3402127041,,,,
5811238.571299965,685090.4050672889,,,,
5812112.983875502,684948.6907098601,rue Munier-Romilly,2,1206,
5810879.781059857,685430.2457032853,,,,
5810659.319158742,684850.5020726066,,,,
5810603.968113727,685479.0543578265,,,,
5810693.1965121105,685117.0707149843,,,,
5810465.788438893,685669.5559327912,,,,
5810314.94520715,685460.7929244153,,,,
5810286.780347416,685576.2450560521,,,,
5811946.8879382145,685271.2171718004,,,,
5811386.300490362,685228.7326856342,Avenue Alfred-Bertrand,18,,Genève
5810843.352540341,685346.6369122998,,,,
5811533.668719415,685202.9256905246,Rue de l'Athénée,44,,Genève
5810850.816144845,685729.1952866234,,,,
5811163.55219264,685241.5549139824,Avenue Dumas,14,,Genève
5811842.218897315,684941.3152585292,Chemin Malombré,3,,Genève
5810469.380051345,685799.1699800653,,,,
5811038.318307337,685284.541670523,,,,
5810641.798351142,685618.5447501233,,,,
5812075.4202049,684901.8212807707,,,,
5810680.055317227,685325.3674501186,,,,
5811524.041322704,684996.1465901411,,,,
5810975.382805328,685805.0977455702,,,,
5811197.134817833,684932.439483142,,,,
5810322.6562385345,685623.4445711432,,,,
5810171.121666723,685705.5934919975,,,,
5811885.297295033,684907.4749610721,Boulevard des Tranchées,16,,Genève
5811439.546863441,685002.3597927856,,,,
5810871.899045175,685322.1764689124,Avenue de Miremont,21c,,Genève
5810474.456810796,684807.790969915,Chemin de la Tour-de-Champel,15,,Genève
5810860.497908088,685198.4351577621,,,,
5810207.974942847,685548.1591587554,,,,
5810963.164488668,685377.3244496612,,,,
5810492.190400842,684767.3781049799,Chemin de la Tour-de-Champel,17,,Genève
5810106.277890649,685333.7798570312,Route du Bout-du-Monde,4,,Genève
5809955.937816218,685700.9009569279,Chemin Edouard-Tavan,8e,,Genève
5810981.128806666,685576.381894579,,,,
5812008.787783854,684892.1592120819,,,,
5810885.644784171,685652.8108144273,Chemin des Pléiades,2,,Genève
5810913.234871428,685347.1749813753,Avenue de Miremont,21e,,Genève
5811374.847786672,684920.8817934236,,,,
5810570.828362644,684949.4697528351,,,,
5810447.33220328,685059.2829057563,,,,
5811622.16485465,685197.1763489625,,,,
5811181.054121896,685043.2689462821,,,,
5810543.101230574,684752.1957339747,Avenue de Champel,87,,Genève
5812150.6225739755,684990.125756392,Rue Charles-Galland,12,1206,Genève
5810568.713525266,684635.2334595239,,,,
5811074.349597523,685505.4486918449,,,,
5811249.6235876065,685167.791618563,,,,
5810900.932048392,685579.8402623989,,,,
5811590.792376801,685030.7004312522,,,,
5810940.336815887,685711.7625444884,,,,
5812029.16157861,684857.0435907434,,,,
5810555.279222692,685141.0712668906,,,,
5810805.77306221,685320.2952906749,,,,
5810418.098700857,685205.5907947945,,,,
5811451.168239628,685089.0659395407,,,,
5810124.340510259,685682.8865814055,,,,
5810794.242251901,685064.3662838459,,,,
5810817.06233962,684842.6464576485,,,,
5811112.1028014,685180.6892516271,,,,
5811065.692738002,685881.5920635769,Avenue Eugène-Pittard,16,1206,Geneva
5809927.851674689,685541.6725891042,Route du Bout-du-Monde,11,,
5811414.985529234,684994.4364712974,,,,
5810422.2538865255,685756.0294699845,,,,
5811923.006219078,685009.8235685735,,,,
5811874.543471004,685271.3055033355,,,,
5809933.96739254,685611.9616151274,Chemin Edouard-Tavan,8b,,Genève
5810199.152159246,685484.9303620992,Chemin Edouard-Tavan,1,,Genève
5810886.223336251,685764.976515881,,,,
5810456.012013256,685150.6634687819,,,,
5810853.627556519,684709.8708162844,,,,
5811683.319084523,685096.873302752,,,,
5810296.2526436895,685784.273511,,,,
5811559.578342869,685461.6370560301,,,,
5810710.413991056,685508.0764413462,Avenue de Miremont,33b,,Genève
5810604.466421501,685063.1162663711,,,,
5811403.22658412,685156.4385285503,,,,
5811717.017037409,684848.4232047751,,,,
5810695.236408026,685244.6271602601,,,,
5810894.566804046,685376.3627598797,Avenue de Miremont,23c,,Genève
5810426.757648496,685331.309205366,,,,
5811812.768407637,684785.8736887863,,,,
5811737.859236842,685344.2537499648,,,,
5809967.443927364,685403.2154206206,Route du Bout-du-Monde,5,,Genève
5811668.519646824,684830.8322296425,Chemin Malombré,11,,Genève
5810668.150540651,685704.0733002075,,,,
5810934.380601464,685021.5502068009,,,,
5810322.837861956,685216.488100562,,,,
5812087.315178854,684716.7798864396,Terrasse de Saint-Victor,2,1206,Genève
5811990.527156718,684818.3178729363,Rue de Saint-Victor,8,1206,Genève
5810086.783122009,685574.5325581161,,,,
5810796.395048608,685407.7686781082,,,,
5810902.683402023,685465.8341418427,,,,
5810390.231913724,685469.0578312175,,,,
5810700.257424467,685931.5188449471,,,,
5811085.937155648,685338.3238431539,,,,
5810661.151652859,685926.387463849,,,,
5810980.42749141,685309.4484002268,,,,
5810263.695722287,685757.9176265282,,,,
5810064.975942067,685777.6739083647,Chemin Edouard-Tavan,12b,,Genève
5810979.5123492135,685651.3645402984,,,,
5810243.9647436645,685521.0771132411,Avenue Louis-Aubert,2,,Genève
5811210.427481134,684847.9580242042,,,,
5810359.070393527,685405.3091091024,,,,
5811170.678977986,685329.2347215462,,,,
5812057.014713911,685147.3868312509,Boulevard des Tranchées,36,,Genève
5810438.187082719,684850.7063423884,,,,
5810638.359822069,684789.6881375337,Avenue de Champel,81,,Genève
5810211.757773304,685243.611608641,Route du Bout-du-Monde,4ter,,Genève
5810966.072232195,684772.7294067895,,,,
5810135.222756117,685294.6055516333,Route du Bout-du-Monde,4bis,,Genève
5810551.784125535,685032.7943345612,,,,
5810952.617585743,684947.2836789422,,,,
5810960.695797187,685110.7780320265,,,,
5811324.662064527,684851.6379788604,,,,
5811772.452845402,685572.0954565653,,,,
5811208.571180315,685214.7535704478,,,,
5810948.332249341,685222.8003420742,,,,
5811695.834879117,684763.4983895787,Avenue de Champel,6,,Genève
5811582.044371543,684968.7331959477,Rue Marignac,3,,Genève
5811254.63035308,685261.4554798132,,,,
5811988.770536303,684985.4623326318,,,,
5810679.949914134,684815.2392652222,,,,
5810841.526378437,685293.7472483992,,,,
5810641.609925582,685441.8279177356,,,,
5811861.879758737,684956.7649260809,Chemin Malombré,1,,
5810679.849531277,685816.6005364808,,,,
5811042.670622431,685386.6737870534,,,,
5810273.131783257,685305.2141723945,,,,
5811959.78732565,685064.2416421141,,,,
5811690.5344340885,685399.384913618,,,,
5811166.9538368685,685374.2640286154,,,,
5811396.168432164,685063.3526211842,Plateau de Champel,16,,Genève
5812406.223809057,683747.7293815834,,,,
5811121.626052467,686377.0061135198,,,,
5812432.033547248,686024.4805922103,,,,
5812190.242860401,683937.9023406028,,,,
5811223.218325269,686106.1073542301,,,,
5811215.563818718,686307.2474879933,,,,
5811765.79716654,684641.7084012005,,,,
5811024.568296295,686203.879784456,Chemin des Pins,6,,Genève
5811056.216055681,686518.033712164,Route de Florissant,89b,,Genève
5810738.001857231,685978.0262364254,,,,
5812086.4202878745,684499.419956995,,,,
5811974.396292301,686365.182063213,,,,
5811048.765859705,686138.8460870176,,,,
5812062.344815373,686319.2611939951,,,,
5811571.700622042,685718.6370507339,,,,
5811125.680861048,686449.9079074598,Chemin Doctoresse-Champendal,4,,Genève
5811037.2876430815,686662.4343390927,Chemin du Velours,18a,,Genève
5812048.9252052335,684539.1763296033,,,,
5811416.711696155,685983.0207292896,,,,
